ID	pheotype
HOCHN000E11170421	0.968272872
HOCHN000E11170423	1.287077751
HOCHN000E11170424	1.123787234
HOCHN000E21160223	1.320944478
HOCHN000E21160964	1.158903537
HOCHN000E21161065	1.345257531
HOCHN000E21161145	1.183928609
HOCHN000E21161146	1.472972625
HOCHN000E21161162	0.94260633
HOCHN000E21161174	1.297480383
HOCHN000E21161175	0.987027526
HOCHN000E21161177	1.187634746
HOCHN000E21161180	1.081497602
HOCHN000E21161270	0.878398171
HOCHN000E21170101	2.109926927
HOCHN000E31160215	1.375809902
HOCHN000E31160219	1.294844662
HOCHN000E31160328	0.939984772
HOCHN000E31160329	0.596205487
HOCHN000E31160540	1.22113126
HOCHN000E31160645	1.228994122
HOCHN000E31160647	1.18217027
HOCHN000E31160856	1.48620032
HOCHN000E31160933	1.308288121
HOCHN000E31161156	1.405333884
HOCHN000E31170317	1.171905885
HOCHN000E31170418	1.274789229
HOCHN000E31180548	1.423099227
HOCHN000E31180570	1.498956318
HOCHN000E51161040	1.60435365
HOCHN000E51161143	-0.07302956
HOCHN000E51161172	1.179625628
HOCHN000E51161283	1.371158687
HOCHN000E51161287	1.285182
HOCHN000E51170104	0.897669905
HOCHN000E51170211	1.198049046
HOCHN000E51170214	1.059169671
HOCHN000E61161284	0.95700866
HOCHN000E61170732	1.360447398
HOCHN000E61170734	0.919644651
HOCHN000ZJ1007158	1.707939561
HOCHN000ZJ1009168	0.936004129
HOCHN000ZJ1209073	1.224952002
HOCHN13AA07180980	1.210196076
HOCHN13AA07180982	1.649112331
HOCHN13AA07181001	1.177300823
HOCHN13AA07181006	1.364207053
HOCHN13AA07181103	0.984877045
HOCHN13AA07181154	1.173622361
HOCHN13AA07190154	1.507282859
HOCHN13AA07190165	1.645718511
HOCHN13AA07190186	1.053854671
HOCHN13AA07190193	1.104653797
HOCHN13AA07190195	1.349964234
HOCHN13AA07190210	1.429247418
HOCHN13AA07190213	1.061988748
HOCHN13AA07190215	1.072698463
HOCHN13AA07190225	2.471797373
HOCHN13AA07190227	1.540057498
HOCHN13AA07190229	1.085763673
HOCHN13AA07190238	0.58623496
HOCHN13AA07190239	1.330783865
HOCHN13AA07190242	0.951097834
HOCHN13AA07190247	1.365248055
HOCHN13AA07190249	1.546578123
HOCHN13AA07190252	1.606638797
HOCHN13AA07190253	0.89082058
HOCHN13AA07190254	1.24873959
HOCHN13AA07190256	1.75431604
HOCHN13AA07190260	1.374979001
HOCHN13AA07190262	1.404236303
HOCHN13AA07190263	1.028320345
HOCHN13AA07190264	1.313379933
HOCHN13AA07190268	1.09110275
HOCHN13AA07190271	0.590480744
HOCHN13AA07190274	1.430151815
HOCHN13AA07190275	0.597980799
HOCHN13AA07190276	0.396868441
HOCHN13AA07190284	1.912337102
HOCHN13AA07190285	1.94796678
HOCHN13AA07190291	2.660108587
HOCHN13AA07190292	1.415598511
HOCHN13AA07190299	1.483132231
HOCHN13AA07190305	0.448149103
HOCHN13AA07190306	2.028999518
HOCHN13AA07190307	1.012472547
HOCHN13AA07190313	0.901324867
HOCHN13AA07190314	2.194258936
HOCHN13AA07190317	1.251675355
HOCHN13AA07190318	1.337806065
HOCHN13AA07190467	1.604419367
HOCHN13AA07190468	1.350900697
HOCHN13FB01100204	0.791354268
HOCHN13FB01120202	0.95463249
HOCHN13FB01120405	1.094601679
HOCHN13FB01120503	1.215650745
HOCHN13FB01121021	1.662413106
HOCHN13FB01121916	0.611092691
HOCHN13FB01130112	1.185212792
HOCHN13FB01130223	0.829151441
HOCHN13FB01130320	1.133474996
HOCHN13FB01130326	0.711484065
HOCHN13FB01130404	1.393129004
HOCHN13FB01130606	0.797248403
HOCHN13FB01130703	1.291831783
HOCHN13FB01131001	0.905323616
HOCHN13FB01131118	1.195854317
HOCHN13FB01131203	0.983601661
HOCHN13FB01131217	0.140342702
HOCHN13FB01140105	1.755275598
HOCHN13FB01140111	0.899157429
HOCHN13FB01140202	1.141441557
HOCHN13FB01140222	0.878731668
HOCHN13FB01140302	1.306125913
HOCHN13FB01140309	1.225257724
HOCHN13FB01140505	1.096404325
HOCHN13FB01140605	1.332310394
HOCHN13FB01140606	0.974244542
HOCHN13FB01140713	0.946198494
HOCHN13FB01140718	1.029314362
HOCHN13FB01140728	1.205735346
HOCHN13FB01140729	2.069961865
HOCHN13FB01140730	0.842344448
HOCHN13FB01140733	0.221929049
HOCHN13FB01140734	1.963711192
HOCHN13FB01140808	1.296343505
HOCHN13FB01140809	0.624165092
HOCHN13FB01140814	1.425819175
HOCHN13FB01140817	0.876524902
HOCHN13FB01140905	1.320065198
HOCHN13FB01140911	1.365641042
HOCHN13FB01140912	1.303621622
HOCHN13FB01141004	1.184328075
HOCHN13FB01141014	1.757270133
HOCHN13FB01141015	0.921079121
HOCHN13FB01141102	0.929783445
HOCHN13FB01141108	1.023787114
HOCHN13FB01141127	0.968713026
